time,latitude,longitude,depth,magType,mag,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-23T00:55:00.360Z,12.3949,-86.9043,108.87,mb,4.1,,135,0.226,0.81,us,us20005l3s,2016-04-23T01:20:51.928Z,"5km SSW of Leon, Nicaragua",earthquake,7.4,6,0.081,41,reviewed,us,us
2018-04-22T23:14:23.170Z,-10.3385,165.1495,9.44,mb,5.4,,37,5.203,0.74,us,us20005l30,2016-04-22T23:45:37.255Z,"85km WNW of Lata, Solomon Islands",earthquake,6.4,3.6,0.036,256,reviewed,us,us
2018-04-22T23:00:59.250Z,21.9011,102.2824,10,mb,4.5,,59,4.386,0.87,us,us20005l2s,2016-04-22T23:26:03.220Z,"30km NE of Phongsali, Laos",earthquake,3.7,1.9,0.075,52,reviewed,us,us
2018-04-22T22:50:46.470Z,37.9248352,-123.0913315,-0.04,ml,3.23,60,180,0.09128,0.31,nc,nc72626350,2016-04-23T00:18:03.542Z,"28km SW of Inverness, California",earthquake,1.08,1.75,0.301,15,automatic,nc,nc
2018-04-22T22:37:39.100Z,18.7476,-66.4984,49,Md,2.5,12,244.8,0.46622563,0.17,pr,pr16113007,2016-04-22T23:13:25.040Z,"31km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.1,2.2,0,8,reviewed,pr,pr
2018-04-22T21:42:20.830Z,49.3553,153.1684,173.78,mb,4.4,,102,4.713,0.51,us,us20005l20,2016-04-22T22:06:51.223Z,"257km WSW of Severo-Kuril'sk, Russia",earthquake,10.9,8.4,0.047,130,reviewed,us,us
2018-04-22T19:38:11.890Z,-4.4532,94.3395,15.52,mb,5.2,,76,6.569,0.82,us,us20005l0c,2016-04-22T19:53:58.731Z,"Southwest of Sumatra, Indonesia",earthquake,8.9,4.3,0.06,92,reviewed,us,us
2018-04-22T18:47:56.680Z,1.5452,126.4984,52.21,mb,5,,64,1.159,1.01,us,us20005kyg,2016-04-22T19:56:19.938Z,"128km NW of Kota Ternate, Indonesia",earthquake,7.6,5.5,0.052,117,reviewed,us,us
2018-04-22T18:28:10.810Z,-11.785,124.3901,45.53,mb,4.4,,84,3.779,1.44,us,us20005kyb,2016-04-22T19:21:52.203Z,"199km SSE of Kupang, Indonesia",earthquake,7.8,5.7,0.144,14,reviewed,us,us
2018-04-22T15:55:50.520Z,-23.5994,-71.1758,17.18,mb,4.7,,142,0.576,0.98,us,us20005kx4,2016-04-22T16:26:00.809Z,"79km W of Antofagasta, Chile",earthquake,5.1,5.3,0.158,12,reviewed,us,us
2018-04-22T15:49:43.300Z,18.6741,-64.4795,62,Md,2.9,4,324,0.43927617,0.1,pr,pr16113005,2016-04-22T21:36:05.598Z,"31km NNE of Road Town, British Virgin Islands",earthquake,3.5,1.9,0,3,reviewed,pr,pr
2018-04-22T15:40:23.260Z,-10.6634,165.162,43.39,mb,4.9,,209,5.153,0.88,us,us20005kx0,2016-04-22T16:04:45.166Z,"73km W of Lata, Solomon Islands",earthquake,13.1,12,0.123,21,reviewed,us,us
2018-04-22T15:39:05.650Z,-0.2107,-80.7039,10,mb,4.8,,170,2.213,1.2,us,us20005kwx,2016-04-22T16:31:37.451Z,"53km NW of Bahia de Caraquez, Ecuador",earthquake,8.6,1.9,0.081,47,reviewed,us,us
2018-04-22T15:36:27.770Z,-0.5504,-80.9458,10,mb,4.8,,154,2.277,1.1,us,us20005kww,2016-04-22T16:19:11.564Z,"50km NNW of Manta, Ecuador",earthquake,3.3,1.9,0.076,53,reviewed,us,us
2018-04-22T14:41:35.000Z,62.6495,-151.1685,86,ml,3.4,,,,0.71,ak,ak13490530,2016-04-22T15:34:43.364Z,"65km NW of Talkeetna, Alaska",earthquake,0.2,0.6,,,automatic,ak,ak
2018-04-22T13:47:30.000Z,60.095,-152.8602,117.8,ml,2.6,,,,0.5,ak,ak13490513,2016-04-22T14:50:18.250Z,"43km S of Redoubt Volcano, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
2018-04-22T13:26:19.700Z,-2.7324,-80.0914,51.65,mwr,4.9,,144,0.81,1.2,us,us20005kvu,2016-04-22T17:41:26.149Z,"34km ESE of Playas, Ecuador",earthquake,3.9,6.9,0.065,23,reviewed,us,us
2018-04-22T13:07:52.000Z,52.2117,179.0163,55.1,ml,2.7,,,,0.31,ak,ak13490503,2016-04-23T00:41:00.966Z,"45km NE of Little Sitkin Island, Alaska",earthquake,10.3,14.2,,,reviewed,ak,ak
2018-04-22T12:35:14.040Z,33.4695,-116.453,7.45,ml,2.51,93,24,0.0584,0.17,ci,ci37335463,2016-04-22T14:02:06.613Z,"23km ESE of Anza, CA",earthquake,0.1,0.32,0.13,133,reviewed,ci,ci
2018-04-22T11:15:41.000Z,51.9551,-172.0014,44.6,ml,2.6,,,,0.7,ak,ak13490443,2016-04-23T00:39:38.176Z,"78km SW of Amukta Island, Alaska",earthquake,9.1,33.9,,,reviewed,ak,ak
2018-04-22T10:47:03.910Z,13.6489,-90.1008,84.39,mb,4.3,,163,0.845,1.35,us,us20005ktw,2016-04-22T12:45:03.015Z,"23km SSW of San Francisco Menendez, El Salvador",earthquake,7.8,8.1,0.059,80,reviewed,us,us
